,CD3Q605,CD4PETR,CD8Q705,CD45RAQ655,CCR7PECY7,CD11BAPCCY7,CD14Q800
CD4_EM,hi,hi,lo,lo,lo,lo,lo
CD4_CM,hi,hi,lo,lo,hi,lo,lo
CD4_Naive,hi,hi,lo,hi,hi,lo,lo
CD4_TEMRA,hi,hi,lo,hi,lo,lo,lo
CD8_EM,hi,lo,hi,lo,lo,lo,lo
CD8_CM,hi,lo,hi,lo,hi,lo,lo
CD8_Naive,hi,lo,hi,hi,hi,lo,lo
CD8_TEMRA,hi,lo,hi,hi,lo,lo,lo
CD3_DN,hi,lo,lo,dc,dc,dc,dc
CD3_DP,hi,hi,hi,dc,dc,dc,dc
Macrophage,lo,lo,lo,dc,dc,hi,hi
NK,lo,lo,lo,dc,dc,hi,lo
